front,back,tags
的,"de<br>of; ~'s (possessive particle); (used after an attribute when it modifies a noun); (used at the end of a declarative sentence for emphasis); (used after a noun, verb or adjective to<br><small>中的 (zhōng de); 似的 (shì de); 准的 (zhǔn de)</small>",zero_beginner
一,"yī<br>one; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out <br><small>一一 (yī yī); 一下 (yī xià); 一世 (yī shì)</small>",zero_beginner
了,"le<br>(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)<br><small>不了 (bù liǎo); 临了 (lín liǎo); 为了 (wèi le)</small>",zero_beginner
是,shì<br>to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion)<br><small>不是 (bú shì); 可是 (kě shì); 总是 (zǒng shì)</small>,zero_beginner
不,bù<br>no; not so; (bound form) not; un-<br><small>不是 (bú shì); 不好 (bù hǎo); 不用 (bù yòng)</small>,zero_beginner
我,wǒ<br>I; me; my<br><small>我们 (wǒ men); 我的 (wǒ de); 自我 (zì wǒ)</small>,zero_beginner
在,zài<br>to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress)<br><small>不在 (bù zài); 何在 (hé zài); 健在 (jiàn zài)</small>,zero_beginner
人,"rén<br>person; people; CL:個|个[ge4],位[wei4],名[ming2]<br><small>人们 (rén men); 中国人 (zhōng guó rén); 个人 (gè rén)</small>",zero_beginner
有,yǒu<br>to have; there is; (bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional)<br><small>没有 (méi yǒu); 有用 (yǒu yòng); 有名 (yǒu míng)</small>,zero_beginner
这,"zhè<br>(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)<br><small>这下 (zhè xià); 这不 (zhè bù); 这个 (zhè ge)</small>",zero_beginner
他,"tā<br>(third-person singular) (since the early 20th century, usu. male) he; him; his; (bound form) other; another; some other (as in 他日[ta1 ri4] and 他人[ta1 ren2])<br><small>他们 (tā men); 他的 (tā de); 他人 (tā rén)</small>",zero_beginner
来,"lái<br>to come; (used as a substitute for a more specific verb); hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5]); ever since (as in 自古以來|自古以来[zi4 gu3<br><small>回来 (huí lái); 进来 (jìn lái); 来到 (lái dào)</small>",zero_beginner
个,gè<br>used in 自個兒|自个儿[zi4 ge3 r5]<br><small>一个 (yí gè); 上个 (shàng gè); 下个 (xià gè)</small>,zero_beginner
你,"nǐ<br>you (informal, as opposed to courteous 您[nin2])<br><small>你好 (nǐ hǎo); 你们 (nǐ men); 你的 (nǐ de)</small>",zero_beginner
说,shuō<br>to persuade<br><small>说话 (shuō huà); 说明 (shuō míng); 小说 (xiǎo shuō)</small>,zero_beginner
上,shàng<br>used in 上聲|上声[shang3 sheng1]<br><small>上万 (shàng wàn); 上下 (shàng xià); 上个 (shàng gè)</small>,zero_beginner
到,dào<br>to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoug<br><small>不到 (bú dào); 临到 (lín dào); 做到 (zuò dào)</small>,zero_beginner
就,jiù<br>(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; (same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precise<br><small>俯就 (fǔ jiù); 可就 (kě jiù); 将就 (jiāng jiù)</small>,zero_beginner
着,zhe<br>a move in chess (Taiwan pr. [zhuo2]); trick; tactic; (dialect) okay; all right; (dialect) to put in; to add<br><small>不着 (bù zhe); 为着 (wèi zhe); 依着 (yī zhe)</small>,zero_beginner
大,dà<br>big; large; great; older (than another person); eldest (as in 大姐[da4 jie3]); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother)<br><small>不大 (bù dà); 东大 (dōng dà); 伟大 (wěi dà)</small>,zero_beginner
们,"men<br>plural marker for pronouns, and nouns referring to individuals<br><small>亚们 (yà men); 亲们 (qīn men); 人们 (rén men)</small>",zero_beginner
道,"dào<br>road; path (CL:條|条[tiao2],股[gu3]); (bound form) way; reason; principle; (bound form) a skill; an art; a specialization; (Daoism) the Way; the Dao; to say (introducing a direct quot<br><small>一道 (yī dào); 世道 (shì dào); 东道 (dōng dào)</small>",zero_beginner
那,nà<br>surname Na<br><small>刹那 (chà nà); 支那 (zhī nà); 沙那 (shā nà)</small>,zero_beginner
么,me<br>exclamatory final particle<br><small>么么 (me me); 什么 (shén me); 多么 (duō me)</small>,zero_beginner
也,yě<br>surname Ye<br><small>也好 (yě hǎo); 也罢 (yě bà); 也许 (yě xǔ)</small>,zero_beginner
地,"dì<br>-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct<br><small>下地 (xià dì); 产地 (chǎn dì); 伏地 (fú dì)</small>",zero_beginner
子,"zi<br>son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.–1 a.m., midnight, 11th solar month (7th December to 5th January), year of the rat; viscount, fourth of five orders o<br><small>世子 (shì zi); 丙子 (bǐng zi); 个子 (gè zi)</small>",zero_beginner
下,"xià<br>down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency <br><small>一下 (yī xià); 上下 (shàng xià); 下世 (xià shì)</small>",zero_beginner
出,chū<br>to go out; to come out; to arise; to occur; to produce; to yield; to go beyond; to exceed; (used after a verb to indicate an outward direction or a positive result); classifier for<br><small>交出 (jiāo chū); 产出 (chǎn chū); 亮出 (liàng chū)</small>,zero_beginner
时,shí<br>surname Shi<br><small>时间 (shí jiān); 小时 (xiǎo shí); 同时 (tóng shí)</small>,zero_beginner
看,kàn<br>to look after; to take care of; to watch; to guard<br><small>中看 (zhōng kàn); 乍看 (zhà kàn); 俯看 (fǔ kàn)</small>,zero_beginner
要,yào<br>(bound form) to demand; to coerce<br><small>不要 (bú yào); 主要 (zhǔ yào); 会要 (huì yào)</small>,zero_beginner
她,tā<br>she<br><small>她们 (tā men); 她的 (tā de); 她玛 (tā mǎ)</small>,zero_beginner
中,zhōng<br>(bound form) China; Chinese; surname Zhong<br><small>中国 (zhōng guó); 中文 (zhōng wén); 中间 (zhōng jiān)</small>,zero_beginner
没,méi<br>(negative prefix for verbs) have not; not<br><small>从没 (cóng méi); 出没 (chū mò); 吞没 (tūn mò)</small>,zero_beginner
然,rán<br>correct; right; so; thus; like this; -ly<br><small>不然 (bù rán); 了然 (liǎo rán); 井然 (jǐng rán)</small>,zero_beginner
里,lǐ<br>lining; interior; inside; internal; also written 裏|里[li3]<br><small>万里 (wàn lǐ); 公里 (gōng lǐ); 内里 (nèi lǐ)</small>,zero_beginner
为,wèi<br>as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice)<br><small>为上 (wèi shàng); 为主 (wéi zhǔ); 为了 (wèi le)</small>,zero_beginner
过,guò<br>surname Guo<br><small>不过 (bù guò); 借过 (jiè guò); 划过 (huá guò)</small>,zero_beginner
自,zì<br>(bound form) self; oneself; from; since; naturally; as a matter of course<br><small>亲自 (qīn zì); 兀自 (wù zì); 出自 (chū zì)</small>,zero_beginner
好,hǎo<br>good; appropriate; proper; all right!; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (<br><small>上好 (shàng hǎo); 不好 (bù hǎo); 也好 (yě hǎo)</small>,zero_beginner
得,dé<br>to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished<br><small>不得 (bù dé); 乍得 (zhà dé); 习得 (xí dé)</small>,zero_beginner
去,qù<br>to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part);<br><small>出去 (chū qù); 回去 (huí qù); 去年 (qù nián)</small>,zero_beginner
可,kě<br>(prefix) can; may; able to; -able; to approve; to permit; to suit; (particle used for emphasis) certainly; very; but; however<br><small>不可 (bù kě); 即可 (jí kě); 可亲 (kě qīn)</small>,zero_beginner
会,huì<br>can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association; (bound form) a moment (Tai<br><small>会议 (huì yì); 开会 (kāi huì); 会说 (huì shuō)</small>,zero_beginner
天,tiān<br>day; sky; heaven<br><small>今天 (jīn tiān); 明天 (míng tiān); 天气 (tiān qì)</small>,zero_beginner
还,hái<br>surname Huan<br><small>交还 (jiāo huán); 偿还 (cháng huán); 回还 (huí huán)</small>,zero_beginner
心,"xīn<br>heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]<br><small>一心 (yī xīn); 上心 (shàng xīn); 专心 (zhuān xīn)</small>",zero_beginner
后,hòu<br>surname Hou<br><small>之后 (zhī hòu); 事后 (shì hòu); 产后 (chǎn hòu)</small>,zero_beginner
以,yǐ<br>abbr. for Israel 以色列[Yi3 se4 lie4]<br><small>乘以 (chéng yǐ); 予以 (yǔ yǐ); 以上 (yǐ shàng)</small>,zero_beginner
小,xiǎo<br>small; tiny; few; young<br><small>三小 (sān xiǎo); 从小 (cóng xiǎo); 做小 (zuò xiǎo)</small>,zero_beginner
