character,pinyin,pinyin_plain,pinyin_initial,definition_en,example_words,lookup_category,frequency_tier,learning_band,frequency_rank,token,frequency_per_million,coverage_rate_pct,rank_3500,rank_7000,in_3500,in_7000,in_corpus,source
说,shuō,shuo,S,to persuade,说话 (shuō huà); 说明 (shuō míng); 小说 (xiǎo shuō),Actions,Top 100,Zero Beginner,15.0,12000460.0,6321.612364886378,20.25219948646665,2920.0,5524.0,True,True,True,"3500, 7000, corpus"
着,zhe,zhe,Z,a move in chess (Taiwan pr. [zhuo2]); trick; tactic; (dialect) okay; all right; (dialect) to put in; to add,不着 (bù zhe); 为着 (wèi zhe); 依着 (yī zhe),Actions,Top 100,Zero Beginner,19.0,11165468.0,5881.754580119694,22.669853501090273,2152.0,3859.0,True,True,True,"3500, 7000, corpus"
看,kàn,kan,K,to look after; to take care of; to watch; to guard,中看 (zhōng kàn); 乍看 (zhà kàn); 俯看 (fǔ kàn),Actions,Top 100,Zero Beginner,31.0,8030267.0,4230.190772731965,28.564065183734357,2144.0,3840.0,True,True,True,"3500, 7000, corpus"
要,yào,yao,Y,(bound form) to demand; to coerce,不要 (bú yào); 主要 (zhǔ yào); 会要 (huì yào),Actions,Top 100,Zero Beginner,32.0,7944606.0,4185.066199441564,28.982571803678514,2857.0,5404.0,True,True,True,"3500, 7000, corpus"
得,dé,de,D,to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished,不得 (bù dé); 乍得 (zhà dé); 习得 (xí dé),Actions,Top 100,Zero Beginner,42.0,7186260.0,3785.584058718448,32.88627150455023,1043.0,1735.0,True,True,True,"3500, 7000, corpus"
心,xīn,xin,X,"heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]",一心 (yī xīn); 上心 (shàng xīn); 专心 (zhuān xīn),Actions,Top 100,Zero Beginner,48.0,6555833.0,3453.48719590167,35.056923568514954,1051.0,1748.0,True,True,True,"3500, 7000, corpus"
对,duì,dui,D,right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair,一对 (yī duì); 不对 (bú duì); 作对 (zuò duì),Actions,Top 100,Zero Beginner,54.0,6195038.0,3263.427303765104,37.07140876672672,858.0,1412.0,True,True,True,"3500, 7000, corpus"
想,xiǎng,xiang,X,to think (about); to think of; to devise; to think (that); to believe (that); to desire; to want (to); to miss (feel wistful about the absence of),不想 (bù xiǎng); 休想 (xiū xiǎng); 假想 (jiǎ xiǎng),Actions,Top 100,Zero Beginner,55.0,6140550.0,3234.724069510923,37.39488117367781,1128.0,1893.0,True,True,True,"3500, 7000, corpus"
能,néng,neng,N,surname Neng,万能 (wàn néng); 不能 (bù néng); 低能 (dī néng),Actions,Top 100,Zero Beginner,56.0,5933639.0,3125.727319717081,37.707453905649515,2550.0,4669.0,True,True,True,"3500, 7000, corpus"
多,duō,duo,D,many; much; more; a lot of; too many; in excess; (after a numeral) ... odd; how (to what extent) (Taiwan pr. [duo2]); (bound form) multi-; poly-,众多 (zhòng duō); 几多 (jǐ duō); 基多 (jī duō),Actions,Top 100,Zero Beginner,68.0,4617194.0,2432.249320565978,40.86500331824515,709.0,1157.0,True,True,True,"3500, 7000, corpus"
知,zhī,zhi,Z,to know; to be aware,不知 (bù zhī); 了知 (le zhī); 先知 (xiān zhī),Actions,Top 100,Zero Beginner,72.0,4397165.0,2316.3422597505105,41.815639549917165,2172.0,3908.0,True,True,True,"3500, 7000, corpus"
开,kāi,kai,K,"to open (transitive or intransitive); (of ships, vehicles, troops etc) to start; to turn on; to put in operation; to operate; to run; to boil; to write out (a prescription, check, invoice etc); (directional complement) away; off; carat (gold); abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]; abbr. for 開本|开本[kai1 ben3], book format",丢开 (diū kāi); 传开 (chuán kāi); 伸开 (shēn kāi),Actions,Top 100,Zero Beginner,73.0,4346834.0,2289.828853436328,42.0446224352608,1002.0,1671.0,True,True,True,"3500, 7000, corpus"
笑,xiào,xiao,X,to laugh; to smile; to laugh at,偷笑 (tōu xiào); 傻笑 (shǎ xiào); 冷笑 (lěng xiào),Actions,Top 100,Zero Beginner,93.0,3577465.0,1884.5400075453979,46.09911446771644,2308.0,4172.0,True,True,True,"3500, 7000, corpus"
见,jiàn,jian,J,to see; to meet; to appear (to be sth); to interview; opinion; view,不见 (bú jiàn); 主见 (zhǔ jiàn); 习见 (xí jiàn),Actions,Top 100,Zero Beginner,100.0,3460998.0,1823.187423786007,47.38505323431157,2859.0,5407.0,True,True,True,"3500, 7000, corpus"
当,dāng,dang,D,(onom.) dong; ding dong (bell),上当 (shàng dàng); 不当 (bù dàng); 了当 (liǎo dàng),Actions,Top 300,HSK1 Core,101.0,3437226.0,1810.6647897254727,47.56611971328412,1021.0,1701.0,True,True,True,"3500, 7000, corpus"
气,qì,qi,Q,gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi,一气 (yī qì); 丧气 (sàng qì); 义气 (yì qì),Actions,Top 300,HSK1 Core,106.0,3227369.0,1700.1161435854115,48.43561931668662,1696.0,2844.0,True,True,True,"3500, 7000, corpus"
用,yòng,yong,Y,to use; to make use of; to employ; (coverb) with; using; to need; to have to (usu. used in the negative or in questions); usefulness; utility; (bound form) expense; outlay; (courteous) to eat; to drink; (literary) hence; therefore,不用 (bù yòng); 专用 (zhuān yòng); 两用 (liǎng yòng),Actions,Top 300,HSK1 Core,108.0,3170468.0,1670.1417871712074,48.769821933221785,2050.0,3645.0,True,True,True,"3500, 7000, corpus"
问,wèn,wen,W,to ask; to inquire,不问 (bù wèn); 临问 (lín wèn); 借问 (jiè wèn),Actions,Top 300,HSK1 Core,118.0,2899681.0,1527.4963846240976,50.3552117425601,3267.0,6340.0,True,True,True,"3500, 7000, corpus"
打,dǎ,da,D,(loanword) dozen; Taiwan pr. [da3],一打 (yī dǎ); 严打 (yán dǎ); 主打 (zhǔ dǎ),Actions,Top 300,HSK1 Core,119.0,2882337.0,1518.3598977847107,50.50704773233857,1181.0,1993.0,True,True,True,"3500, 7000, corpus"
种,zhǒng,zhong,Z,"seed; species; kind; type; classifier for types, kinds, sorts",一种 (yī zhǒng); 乙种 (yǐ zhǒng); 亚种 (yà zhǒng),Actions,Top 300,HSK1 Core,131.0,2653924.0,1398.0363064306466,52.24857322200427,2246.0,4073.0,True,True,True,"3500, 7000, corpus"
实,shí,shi,S,real; true; honest; really; solid; fruit; seed; definitely,不实 (bù shí); 严实 (yán shí); 丽实 (lì shí),Actions,Top 300,HSK1 Core,133.0,2616492.0,1378.3178461347557,52.52490722520265,826.0,1372.0,True,True,True,"3500, 7000, corpus"
学,xué,xue,X,to learn; to study; to imitate; science; -ology,学生 (xué shēng); 学校 (xué xiào); 学习 (xué xí),Actions,Top 300,HSK1 Core,140.0,2566533.0,1352.0004022919898,53.47577929665545,806.0,1343.0,True,True,True,"3500, 7000, corpus"
感,gǎn,gan,G,to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~,乐感 (yuè gǎn); 传感 (chuán gǎn); 伤感 (shāng gǎn),Actions,Top 300,HSK1 Core,143.0,2529138.0,1332.3014328870731,53.87897144945839,1137.0,1908.0,True,True,True,"3500, 7000, corpus"
听,tīng,ting,T,smile (archaic),中听 (zhōng tīng); 任听 (rèn tīng); 侦听 (zhēn tīng),Actions,Top 300,HSK1 Core,146.0,2449553.0,1290.3775799631449,54.27298839703041,491.0,684.0,True,True,True,"3500, 7000, corpus"
其,qí,qi,Q,his; her; its; their; that; such; it (refers to sth preceding it),何其 (hé qí); 其一 (qí yī); 其三 (qí sān),Actions,Top 300,HSK1 Core,149.0,2417047.0,1273.2540420710143,54.657715143114764,247.0,367.0,True,True,True,"3500, 7000, corpus"
做,zuò,zuo,Z,"to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc); (of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner)",做东 (zuò dōng); 做为 (zuò wèi); 做事 (zuò shì),Actions,Top 300,HSK2 Expansion,159.0,2254997.0,1187.8892074121898,55.8898056350441,202.0,298.0,True,True,True,"3500, 7000, corpus"
光,guāng,guang,G,light; ray (CL:道[dao4]); bright; shiny; only; merely; used up; finished; to leave (a part of the body) uncovered,三光 (sān guāng); 不光 (bù guāng); 乳光 (rǔ guāng),Actions,Top 300,HSK2 Expansion,162.0,2185701.0,1151.3854025216135,56.24030516498175,229.0,346.0,True,True,True,"3500, 7000, corpus"
住,zhù,zhu,Z,to live; to reside; to stay; to stop; to cease; (result complement indicating firmness or a stable achieved state),不住 (bú zhù); 住区 (zhù qū); 住友 (zhù yǒu),Actions,Top 300,HSK2 Expansion,165.0,2114870.0,1114.0729890460243,56.57987947106942,144.0,182.0,True,True,True,"3500, 7000, corpus"
死,sǐ,si,S,to die; impassable; uncrossable; inflexible; rigid; extremely; damned,临死 (lín sǐ); 作死 (zuò sǐ); 假死 (jiǎ sǐ),Actions,Top 300,HSK2 Expansion,177.0,1979349.0,1042.683123215734,57.87185693711305,1670.0,2788.0,True,True,True,"3500, 7000, corpus"
太,tài,tai,T,highest; greatest; too (much); very; extremely,亚太 (yà tài); 印太 (yìn tài); 太上 (tài shàng),Actions,Top 300,HSK2 Expansion,180.0,1962845.0,1033.989132279546,58.18330235809328,714.0,1164.0,True,True,True,"3500, 7000, corpus"
少,shǎo,shao,S,few; less; to lack; to be missing; to stop (doing sth); seldom,不少 (bù shǎo); 减少 (jiǎn shǎo); 多少 (duō shǎo),Actions,Top 300,HSK2 Expansion,182.0,1940099.0,1022.0069753579195,58.38796187577506,869.0,1423.0,True,True,True,"3500, 7000, corpus"
战,zhàn,zhan,Z,to fight; fight; war; battle,一战 (yī zhàn); 临战 (lín zhàn); 争战 (zhēng zhàn),Actions,Top 300,HSK2 Expansion,183.0,1924225.0,1013.6448563491309,58.48932636140997,1166.0,1964.0,True,True,True,"3500, 7000, corpus"
重,zhòng,zhong,Z,to repeat; repetition; again; re-; classifier: layer,三重 (sān chóng); 两重 (liǎng zhòng); 严重 (yán zhòng),Actions,Top 300,HSK2 Expansion,186.0,1900814.0,1001.3123901708049,58.78996592707791,3193.0,6097.0,True,True,True,"3500, 7000, corpus"
像,xiàng,xiang,X,to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.),人像 (rén xiàng); 佛像 (fó xiàng); 倒像 (dào xiàng),Actions,Top 300,HSK2 Expansion,188.0,1883479.0,992.1806443589521,58.98883570193483,215.0,321.0,True,True,True,"3500, 7000, corpus"
快,kuài,kuai,K,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plainspoken; gratified; pleased; pleasant,不快 (bù kuài); 凉快 (liáng kuài); 加快 (jiā kuài),Actions,Top 300,HSK2 Expansion,191.0,1840001.0,969.277267121702,59.28012174705847,1061.0,1768.0,True,True,True,"3500, 7000, corpus"
叫,jiào,jiao,J,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),乱叫 (luàn jiào); 叫作 (jiào zuò); 叫做 (jiào zuò),Actions,Top 300,HSK2 Expansion,198.0,1780163.0,937.7557553888125,59.94395241533907,451.0,639.0,True,True,True,"3500, 7000, corpus"
便,biàn,bian,B,plain; informal; suitable; convenient; opportune; to urinate or defecate; equivalent to 就[jiu4]: then; in that case; even if; soon afterwards,不便 (bù biàn); 乘便 (chéng biàn); 二便 (èr biàn),Actions,Top 300,HSK2 Expansion,201.0,1735257.0,914.1001351161241,60.222694386422106,171.0,235.0,True,True,True,"3500, 7000, corpus"
轻,qīng,qing,Q,light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral; to disparage,从轻 (cóng qīng); 减轻 (jiǎn qīng); 屁轻 (pì qīng),Actions,Top 300,HSK2 Expansion,205.0,1720467.0,906.3090465347972,60.5865995931376,3070.0,5824.0,True,True,True,"3500, 7000, corpus"
关,guān,guan,G,surname Guan,事关 (shì guān); 入关 (rù guān); 公关 (gōng guān),Actions,Top 300,HSK2 Expansion,209.0,1675433.0,882.5859983149545,60.94239500886529,244.0,364.0,True,True,True,"3500, 7000, corpus"
处,chù,chu,C,to reside; to live; to dwell; to be in; to be situated at; to stay; to get along with; to be in a position of; to deal with; to discipline; to punish,住处 (zhù chù); 何处 (hé chù); 僻处 (pì chù),Actions,Top 300,HSK2 Expansion,214.0,1626691.0,856.9096467509902,61.3780791090593,703.0,1149.0,True,True,True,"3500, 7000, corpus"
望,wàng,wang,W,full moon; to hope; to expect; to visit; to gaze (into the distance); to look towards; towards,人望 (rén wàng); 仰望 (yǎng wàng); 企望 (qǐ wàng),Actions,Top 300,HSK2 Expansion,216.0,1623939.0,855.459945887176,61.54920533899115,1491.0,2460.0,True,True,True,"3500, 7000, corpus"
完,wán,wan,W,to finish; to be over; whole; complete; entire,做完 (zuò wán); 写完 (xiě wán); 卖完 (mài wán),Actions,Top 300,HSK2 Expansion,218.0,1623350.0,855.1496719740994,61.72025355268102,817.0,1361.0,True,True,True,"3500, 7000, corpus"
飞,fēi,fei,F,to fly,停飞 (tíng fēi); 单飞 (dān fēi); 双飞 (shuāng fēi),Actions,Top 300,HSK2 Expansion,220.0,1593771.0,839.5680215922829,61.888395305780044,3396.0,6598.0,True,True,True,"3500, 7000, corpus"
信,xìn,xin,X,letter; mail; CL:封[feng1]; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random,书信 (shū xìn); 互信 (hù xìn); 亲信 (qīn xìn),Actions,Top 300,HSK2 Expansion,228.0,1529741.0,805.8382445900952,62.54673323027176,180.0,251.0,True,True,True,"3500, 7000, corpus"
