character,pinyin,definition_en,learning_band,frequency_rank,token,frequency_per_million,coverage_rate_pct,rank_3500,rank_7000,in_3500,in_7000,in_corpus,source
的,de,"of; ~'s (possessive particle); (used after an attribute when it modifies a noun); (used at the end of a declarative sentence for emphasis); (used after a noun, verb or adjective to form a nominal expression, as in 皮革的[pi2 ge2 de5] ""one made of leather"" or 跑堂兒的|跑堂儿的[pao3 tang2 r5 de5] ""a waiter (literally, one who runs back and forth in a restaurant)"" or 新的[xin1 de5] ""new one""); also pr. [di4] or [di5] in poetry and songs",Zero Beginner,1.0,76938354.0,40529.65052843019,4.052965052843019,2114.0,3790.0,True,True,True,"3500, 7000, corpus"
一,yī,"one; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit",Zero Beginner,2.0,35278860.0,18584.22740420746,5.911387793263765,1.0,1.0,True,True,True,"3500, 7000, corpus"
了,le,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)",Zero Beginner,3.0,34812434.0,18338.523125462772,7.745240105810042,63.0,69.0,True,True,True,"3500, 7000, corpus"
是,shì,to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion),Zero Beginner,4.0,31422712.0,16552.88253262488,9.400528359072531,1450.0,2383.0,True,True,True,"3500, 7000, corpus"
不,bù,no; not so; (bound form) not; un-,Zero Beginner,5.0,29858097.0,15728.673333120305,10.973395692384562,9.0,9.0,True,True,True,"3500, 7000, corpus"
我,wǒ,I; me; my,Zero Beginner,6.0,29569261.0,15576.520063243623,12.531047698708925,1163.0,1959.0,True,True,True,"3500, 7000, corpus"
在,zài,to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress),Zero Beginner,7.0,19195987.0,10112.07810162262,13.542255508871186,631.0,996.0,True,True,True,"3500, 7000, corpus"
人,rén,"person; people; CL:個|个[ge4],位[wei4],名[ming2]",Zero Beginner,8.0,18435295.0,9711.360133055568,14.513391522176743,87.0,103.0,True,True,True,"3500, 7000, corpus"
有,yǒu,to have; there is; (bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional),Zero Beginner,9.0,17847013.0,9401.46444862013,15.453537967038756,1487.0,2451.0,True,True,True,"3500, 7000, corpus"
这,zhè,"(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)",Zero Beginner,10.0,17648808.0,9297.053852794446,16.3832433523182,3108.0,5882.0,True,True,True,"3500, 7000, corpus"
