character,pinyin,pinyin_plain,pinyin_initial,definition_en,lookup_category,frequency_tier,learning_band,frequency_rank,token,frequency_per_million,coverage_rate_pct,rank_3500,rank_7000,in_3500,in_7000,in_corpus,source
啊,a,a,A,interjection of surprise; Ah!; Oh!,Question & Function,Top 300,HSK2 Expansion,154.0,2366043.0,1246.3861122534354,55.2843083588329,569.0,829.0,True,True,True,"3500, 7000, corpus"
阿,ā,a,A,"prefix used before monosyllabic names, kinship terms etc to indicate familiarity; used in transliteration; (bound form) Afghanistan (abbr. for 阿富汗[A1 fu4 han4]); (bound form) Albania (abbr. for 阿爾巴尼亞|阿尔巴尼亚[A1 er3 ba1 ni2 ya4]); (bound form) Algeria (abbr. for 阿爾及利亞|阿尔及利亚[A1 er3 ji2 li4 ya4]); (bound form) Argentina (abbr. for 阿根廷[A1 gen1 ting2]); also pr. [a4]",Question & Function,Top 600,HSK3 Expansion,414.0,867275.0,456.8638505321324,73.62434655866139,3292.0,6399.0,True,True,True,"3500, 7000, corpus"
爱,ài,ai,A,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen),Actions,Top 300,HSK2 Expansion,230.0,1516399.0,798.8099346609496,62.707051129021394,1953.0,3391.0,True,True,True,"3500, 7000, corpus"
艾,ài,ai,A,surname Ai,General Reference,Top 2500,General 3500,1207.0,212019.0,111.68754630996187,91.54571525791074,2621.0,4804.0,True,True,True,"3500, 7000, corpus"
哎,āi,ai,A,hey!; (interjection used to attract attention or to express surprise or disapprobation),Question & Function,Top 2500,General 3500,1385.0,166400.0,87.65633130039126,93.30453490978185,540.0,772.0,True,True,True,"3500, 7000, corpus"
唉,āi,ai,A,"interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh",Question & Function,Top 2500,General 3500,1524.0,139034.0,73.24044691116946,94.41519098760588,556.0,802.0,True,True,True,"3500, 7000, corpus"
哀,āi,ai,A,"Ai (c. 2000 BC), sixth of legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God, also known as Li 釐|厘[Li2]",Time,Top 2500,General 3500,1590.0,125269.0,65.98930868791294,94.87457516837529,534.0,762.0,True,True,True,"3500, 7000, corpus"
挨,āi,ai,A,in order; in sequence; close to; adjacent to,General Reference,Top 2500,General 3500,1894.0,83876.0,44.18426949610347,96.53178722525503,1274.0,2111.0,True,True,True,"3500, 7000, corpus"
埃,āi,ai,A,abbr. for Egypt 埃及[Ai1 ji2] or Ethiopia 埃塞俄比亞|埃塞俄比亚[Ai1 sai4 e2 bi3 ya4],General Reference,Top 2500,General 3500,1899.0,83548.0,44.01148538152097,96.55382578639195,666.0,1069.0,True,True,True,"3500, 7000, corpus"
矮,ǎi,ai,A,(of a person) short; (of a wall etc) low; (of rank) inferior (to); lower (than),People & Pronouns,Top 2500,General 3500,1920.0,81728.0,43.05274425792294,96.64504468381584,2176.0,3914.0,True,True,True,"3500, 7000, corpus"
碍,ài,ai,A,to hinder; to obstruct; to block,Actions,Top 2500,General 3500,1941.0,79505.0,41.881710456956775,96.73435062930774,2201.0,3975.0,True,True,True,"3500, 7000, corpus"
癌,ái,ai,A,cancer; (esp.) carcinoma,General Reference,Top 3500+,General 3500,3232.0,15319.0,8.069755644174842,99.3995137791804,2107.0,3776.0,True,True,True,"3500, 7000, corpus"
蔼,ǎi,ai,A,friendly,People & Pronouns,Top 3500+,General 3500,3279.0,14033.0,7.392315487610521,99.43575282402217,2732.0,5096.0,True,True,True,"3500, 7000, corpus"
隘,ài,ai,A,(bound form) narrow; (bound form) a defile; a narrow pass,General Reference,Top 3500+,General 7000,3672.0,8588.0,4.523993829373559,99.66192907374361,3316.0,6438.0,True,True,True,"3500, 7000, corpus"
安,ān,an,A,surname An,General Reference,Top 300,HSK2 Expansion,223.0,1580103.0,832.3679811102292,62.13824218902801,815.0,1359.0,True,True,True,"3500, 7000, corpus"
暗,àn,an,A,dark; to turn dark; secret; hidden; (literary) confused; ignorant,Actions,Top 600,HSK3 Expansion,404.0,891081.0,469.4043951411295,73.16129819574503,1475.0,2425.0,True,True,True,"3500, 7000, corpus"
按,àn,an,A,to press; to push; to leave aside or shelve; to control; to restrain; to keep one's hand on; to check or refer to; according to; in the light of; (of an editor or author) to make a comment,Actions,Top 1200,General 3500,822.0,382695.0,201.59639246997136,85.82139044792308,1263.0,2095.0,True,True,True,"3500, 7000, corpus"
案,àn,an,A,(legal) case; incident; record; file; table,General Reference,Top 1200,General 3500,857.0,361285.0,190.31801474676595,86.50849524179405,1578.0,2599.0,True,True,True,"3500, 7000, corpus"
岸,àn,an,A,bank; shore; beach; coast,General Reference,Top 2500,General 3500,1569.0,129872.0,68.41408088127653,94.7336937441394,912.0,1495.0,True,True,True,"3500, 7000, corpus"
俺,ǎn,an,A,I (northern dialects),General Reference,Top 2500,General 3500,2123.0,64855.0,34.164371192829776,97.41723222120746,186.0,265.0,True,True,True,"3500, 7000, corpus"
庵,ān,an,A,hut; small temple; nunnery,General Reference,Top 3500+,General 3500,3329.0,13087.0,6.893980815674402,99.47131932776924,992.0,1650.0,True,True,True,"3500, 7000, corpus"
鞍,ān,an,A,(bound form) saddle,General Reference,Top 3500+,General 3500,3418.0,11579.0,6.099595313264606,99.529147010235,3359.0,6515.0,True,True,True,"3500, 7000, corpus"
氨,ān,an,A,ammonia,General Reference,Top 3500+,General 7000,4693.0,2112.0,1.1125611280434275,99.91786117118804,1700.0,2857.0,True,True,True,"3500, 7000, corpus"
昂,áng,ang,A,to lift; to raise; to raise one's head; high; high spirits; soaring; expensive,Actions,Top 2500,General 3500,1929.0,80972.0,42.65449794504375,96.68359914114922,1436.0,2364.0,True,True,True,"3500, 7000, corpus"
肮,āng,ang,A,used in 骯髒|肮脏[ang1 zang1],General Reference,Top 3500+,General 3500,3255.0,14717.0,7.752633580215495,99.41762518917638,2526.0,4621.0,True,True,True,"3500, 7000, corpus"
傲,ào,ao,A,proud; arrogant; to despise; unyielding; to defy,Actions,Top 2500,General 3500,1279.0,190525.0,100.36491899643657,92.30854621942916,213.0,318.0,True,True,True,"3500, 7000, corpus"
