character,pinyin,pinyin_plain,pinyin_initial,definition_en,example_words,lookup_category,frequency_tier,learning_band,frequency_rank,token,frequency_per_million,coverage_rate_pct,rank_3500,rank_7000,in_3500,in_7000,in_corpus,source
的,de,de,D,"of; ~'s (possessive particle); (used after an attribute when it modifies a noun); (used at the end of a declarative sentence for emphasis); (used after a noun, verb or adjective to form a nominal expression, as in 皮革的[pi2 ge2 de5] ""one made of leather"" or 跑堂兒的|跑堂儿的[pao3 tang2 r5 de5] ""a waiter (literally, one who runs back and forth in a restaurant)"" or 新的[xin1 de5] ""new one""); also pr. [di4] or [di5] in poetry and songs",中的 (zhōng de); 似的 (shì de); 准的 (zhǔn de),Question & Function,Top 100,Zero Beginner,1.0,76938354.0,40529.65052843019,4.052965052843019,2114.0,3790.0,True,True,True,"3500, 7000, corpus"
一,yī,yi,Y,"one; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit",一一 (yī yī); 一下 (yī xià); 一世 (yī shì),Numbers & Measures,Top 100,Zero Beginner,2.0,35278860.0,18584.22740420746,5.911387793263765,1.0,1.0,True,True,True,"3500, 7000, corpus"
了,le,le,L,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)",不了 (bù liǎo); 临了 (lín liǎo); 为了 (wèi le),Question & Function,Top 100,Zero Beginner,3.0,34812434.0,18338.523125462772,7.745240105810042,63.0,69.0,True,True,True,"3500, 7000, corpus"
是,shì,shi,S,to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion),不是 (bú shì); 可是 (kě shì); 总是 (zǒng shì),Question & Function,Top 100,Zero Beginner,4.0,31422712.0,16552.88253262488,9.400528359072531,1450.0,2383.0,True,True,True,"3500, 7000, corpus"
不,bù,bu,B,no; not so; (bound form) not; un-,不是 (bú shì); 不好 (bù hǎo); 不用 (bù yòng),Question & Function,Top 100,Zero Beginner,5.0,29858097.0,15728.673333120305,10.973395692384562,9.0,9.0,True,True,True,"3500, 7000, corpus"
我,wǒ,wo,W,I; me; my,我们 (wǒ men); 我的 (wǒ de); 自我 (zì wǒ),People & Pronouns,Top 100,Zero Beginner,6.0,29569261.0,15576.520063243623,12.531047698708925,1163.0,1959.0,True,True,True,"3500, 7000, corpus"
在,zài,zai,Z,to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress),不在 (bù zài); 何在 (hé zài); 健在 (jiàn zài),Question & Function,Top 100,Zero Beginner,7.0,19195987.0,10112.07810162262,13.542255508871186,631.0,996.0,True,True,True,"3500, 7000, corpus"
人,rén,ren,R,"person; people; CL:個|个[ge4],位[wei4],名[ming2]",人们 (rén men); 中国人 (zhōng guó rén); 个人 (gè rén),People & Pronouns,Top 100,Zero Beginner,8.0,18435295.0,9711.360133055568,14.513391522176743,87.0,103.0,True,True,True,"3500, 7000, corpus"
有,yǒu,you,Y,to have; there is; (bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional),没有 (méi yǒu); 有用 (yǒu yòng); 有名 (yǒu míng),Question & Function,Top 100,Zero Beginner,9.0,17847013.0,9401.46444862013,15.453537967038756,1487.0,2451.0,True,True,True,"3500, 7000, corpus"
这,zhè,zhe,Z,"(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)",这下 (zhè xià); 这不 (zhè bù); 这个 (zhè ge),Numbers & Measures,Top 100,Zero Beginner,10.0,17648808.0,9297.053852794446,16.3832433523182,3108.0,5882.0,True,True,True,"3500, 7000, corpus"
他,tā,ta,T,"(third-person singular) (since the early 20th century, usu. male) he; him; his; (bound form) other; another; some other (as in 他日[ta1 ri4] and 他人[ta1 ren2])",他们 (tā men); 他的 (tā de); 他人 (tā rén),People & Pronouns,Top 100,Zero Beginner,11.0,17596473.0,9269.48477768263,17.310191830086463,101.0,122.0,True,True,True,"3500, 7000, corpus"
来,lái,lai,L,"to come; (used as a substitute for a more specific verb); hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5]); ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2]); for the past (amount of time); (prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4]); (between two verbs) in order to; (after a round number) approximately; (used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])",回来 (huí lái); 进来 (jìn lái); 来到 (lái dào),Places & Movement,Top 100,Zero Beginner,12.0,14837007.0,7815.8509681383675,18.0917769269003,1520.0,2493.0,True,True,True,"3500, 7000, corpus"
个,gè,ge,G,used in 自個兒|自个儿[zi4 ge3 r5],一个 (yí gè); 上个 (shàng gè); 下个 (xià gè),Numbers & Measures,Top 100,Zero Beginner,13.0,14789406.0,7790.775673509581,18.870854494251258,26.0,28.0,True,True,True,"3500, 7000, corpus"
你,nǐ,ni,N,"you (informal, as opposed to courteous 您[nin2])",你好 (nǐ hǎo); 你们 (nǐ men); 你的 (nǐ de),People & Pronouns,Top 100,Zero Beginner,14.0,14221925.0,7491.83755726753,19.620038249978013,151.0,196.0,True,True,True,"3500, 7000, corpus"
说,shuō,shuo,S,to persuade,说话 (shuō huà); 说明 (shuō míng); 小说 (xiǎo shuō),Actions,Top 100,Zero Beginner,15.0,12000460.0,6321.612364886378,20.25219948646665,2920.0,5524.0,True,True,True,"3500, 7000, corpus"
上,shàng,shang,S,used in 上聲|上声[shang3 sheng1],上万 (shàng wàn); 上下 (shàng xià); 上个 (shàng gè),Places & Movement,Top 100,Zero Beginner,16.0,11918291.0,6278.3273102792755,20.880032217494577,7.0,7.0,True,True,True,"3500, 7000, corpus"
到,dào,dao,D,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough,不到 (bú dào); 临到 (lín dào); 做到 (zuò dào),Places & Movement,Top 100,Zero Beginner,17.0,11505436.0,6060.843207761109,21.48611653827069,319.0,455.0,True,True,True,"3500, 7000, corpus"
就,jiù,jiu,J,(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; (same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (often followed by 著|着[zhe5]) taking advantage of; (of food) to go with; with regard to; concerning; (bound form) to reach; to attain (as in 一蹴而就[yi1 cu4 er2 jiu4]); (pattern: 就[jiu4] ... 也[ye3] ...) even if ... still ...; (pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ...,俯就 (fǔ jiù); 可就 (kě jiù); 将就 (jiāng jiù),Question & Function,Top 100,Zero Beginner,18.0,11305679.0,5955.615048076179,22.081678043078306,876.0,1435.0,True,True,True,"3500, 7000, corpus"
着,zhe,zhe,Z,a move in chess (Taiwan pr. [zhuo2]); trick; tactic; (dialect) okay; all right; (dialect) to put in; to add,不着 (bù zhe); 为着 (wèi zhe); 依着 (yī zhe),Actions,Top 100,Zero Beginner,19.0,11165468.0,5881.754580119694,22.669853501090273,2152.0,3859.0,True,True,True,"3500, 7000, corpus"
大,dà,da,D,big; large; great; older (than another person); eldest (as in 大姐[da4 jie3]); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother),不大 (bù dà); 东大 (dōng dà); 伟大 (wěi dà),People & Pronouns,Top 100,Zero Beginner,20.0,10828984.0,5704.50125691488,23.24030362678176,712.0,1162.0,True,True,True,"3500, 7000, corpus"
们,men,men,M,"plural marker for pronouns, and nouns referring to individuals",亚们 (yà men); 亲们 (qīn men); 人们 (rén men),People & Pronouns,Top 100,Zero Beginner,21.0,10741873.0,5658.612851410624,23.80616491192282,109.0,135.0,True,True,True,"3500, 7000, corpus"
道,dào,dao,D,"road; path (CL:條|条[tiao2],股[gu3]); (bound form) way; reason; principle; (bound form) a skill; an art; a specialization; (Daoism) the Way; the Dao; to say (introducing a direct quotation, as in a novel); (bound form) to express; to extend (polite words); classifier for long thin things (rivers, cracks, shadows etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; (old) circuit (administrative division)",一道 (yī dào); 世道 (shì dào); 东道 (dōng dào),People & Pronouns,Top 100,Zero Beginner,22.0,10625536.0,5597.32874916006,24.365897786838826,3147.0,5948.0,True,True,True,"3500, 7000, corpus"
那,nà,na,N,surname Na,刹那 (chà nà); 支那 (zhī nà); 沙那 (shā nà),General Reference,Top 100,Zero Beginner,23.0,9929703.0,5230.777258909189,24.888975512729743,3159.0,5976.0,True,True,True,"3500, 7000, corpus"
么,me,me,M,exclamatory final particle,么么 (me me); 什么 (shén me); 多么 (duō me),Question & Function,Top 100,Zero Beginner,24.0,9727134.0,5124.067791510217,25.401382291880765,39.0,43.0,True,True,True,"3500, 7000, corpus"
也,yě,ye,Y,surname Ye,也好 (yě hǎo); 也罢 (yě bà); 也许 (yě xǔ),Question & Function,Top 100,Zero Beginner,25.0,9508702.0,5009.001999691664,25.90228249184993,55.0,60.0,True,True,True,"3500, 7000, corpus"
地,dì,di,D,"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct",下地 (xià dì); 产地 (chǎn dì); 伏地 (fú dì),Question & Function,Top 100,Zero Beginner,26.0,8804040.0,4637.799561429667,26.3660624479929,632.0,1003.0,True,True,True,"3500, 7000, corpus"
子,zi,zi,Z,"son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.–1 a.m., midnight, 11th solar month (7th December to 5th January), year of the rat; viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; ancient Chinese compass point: 0° (north); subsidiary; subordinate; (prefix) sub-",世子 (shì zi); 丙子 (bǐng zi); 个子 (gè zi),People & Pronouns,Top 100,Zero Beginner,27.0,8641973.0,4552.425771496612,26.82130502514256,796.0,1326.0,True,True,True,"3500, 7000, corpus"
下,xià,xia,X,"down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action",一下 (yī xià); 上下 (shàng xià); 下世 (xià shì),Places & Movement,Top 100,Zero Beginner,28.0,8550882.0,4504.44077826053,27.271749102968613,8.0,8.0,True,True,True,"3500, 7000, corpus"
出,chū,chu,C,"to go out; to come out; to arise; to occur; to produce; to yield; to go beyond; to exceed; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc",交出 (jiāo chū); 产出 (chǎn chū); 亮出 (liàng chū),Places & Movement,Top 100,Zero Beginner,29.0,8294943.0,4369.617017583301,27.708710804726945,295.0,425.0,True,True,True,"3500, 7000, corpus"
时,shí,shi,S,surname Shi,时间 (shí jiān); 小时 (xiǎo shí); 同时 (tóng shí),Time,Top 100,Zero Beginner,30.0,8207119.0,4323.353017342162,28.14104610646116,1433.0,2358.0,True,True,True,"3500, 7000, corpus"
看,kàn,kan,K,to look after; to take care of; to watch; to guard,中看 (zhōng kàn); 乍看 (zhà kàn); 俯看 (fǔ kàn),Actions,Top 100,Zero Beginner,31.0,8030267.0,4230.190772731965,28.564065183734357,2144.0,3840.0,True,True,True,"3500, 7000, corpus"
要,yào,yao,Y,(bound form) to demand; to coerce,不要 (bú yào); 主要 (zhǔ yào); 会要 (huì yào),Actions,Top 100,Zero Beginner,32.0,7944606.0,4185.066199441564,28.982571803678514,2857.0,5404.0,True,True,True,"3500, 7000, corpus"
她,tā,ta,T,she,她们 (tā men); 她的 (tā de); 她玛 (tā mǎ),People & Pronouns,Top 100,Zero Beginner,33.0,7870163.0,4145.851053582219,29.397156909036735,743.0,1201.0,True,True,True,"3500, 7000, corpus"
中,zhōng,zhong,Z,(bound form) China; Chinese; surname Zhong,中国 (zhōng guó); 中文 (zhōng wén); 中间 (zhōng jiān),Places & Movement,Top 100,Zero Beginner,34.0,7680869.0,4046.1346017963037,29.801770369216364,27.0,30.0,True,True,True,"3500, 7000, corpus"
